N,DEPARTAMENTO,MUNICIPIO,ZZ,PP,PUESTO,MESA,COD CAN,CANDIDATO,POTENCIAL,% Partic. Mesa PRE,Votos Mesa PRE,Votos Mesa ESC,Votos Cand. PRE,Votos Cand. ESC,Dif. Cand. Neta,% Cand. Mesa PRE,% Cand. Mesa ESC,% Cand. Mun PRE,% Cand. Mun ESC,Dif. % Mesa-Mun PRE,Dif. % Mesa-Mun ESC,Var. Súbita PRE,Var. Súbita ESC,Concent. Cand. PRE,Concent. Cand. ESC,Diferencias Mesa (-),Diferencias Mesa (+),Dif. Mesa Neta,En términos,Estado del sobre,Excluida,Firmas Jurados,Recontada Comisión,Recontada Jurados,Sufragantes E11 según E14,Sufragantes según E11,Tacahaduras y/o Enmendaduras,Total Votos E14,Votos Urna,Votos Incinerados
5279,15 CUNDINAMARCA,340-ZIPAQUIRA,1.0,10,CIC DE PRADOS DEL MIRADOR,3.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,88.33,318.0,318.0,88.0,88.0,0.0,27.67,27.67,34.3,34.02,-6.63,-6.35,1. Baja,1. Baja,0. Baja,0. Baja,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,318.0,318.0,NO,318.0,318.0,0.0
5280,16 BOGOTA D.C.,001-BOGOTA. D.C.,4.0,05,SAN BLAS,7.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,86.11,310.0,310.0,88.0,88.0,0.0,28.39,28.39,37.37,37.64,-8.99,-9.25,1. Baja,1. Baja,0. Baja,0. Baja,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,310.0,310.0,NO,310.0,310.0,0.0
5281,16 BOGOTA D.C.,001-BOGOTA. D.C.,7.0,44,PORTAL DE BRASIL,2.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,84.17,303.0,303.0,88.0,88.0,0.0,29.04,29.04,37.37,37.64,-8.33,-8.6,1. Baja,1. Baja,0. Baja,0. Baja,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,303.0,303.0,NO,303.0,303.0,0.0
5282,16 BOGOTA D.C.,001-BOGOTA. D.C.,7.0,68,COLEGIO JORGE ISAACS,2.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,89.72,323.0,323.0,88.0,88.0,0.0,27.24,27.24,37.37,37.64,-10.13,-10.39,2. Media,2. Media,0. Baja,0. Baja,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,323.0,323.0,NO,323.0,323.0,0.0
5283,16 BOGOTA D.C.,001-BOGOTA. D.C.,8.0,57,COL. DIS. CAFAM BELLAVISTA,10.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,86.11,310.0,310.0,88.0,88.0,0.0,28.39,28.39,37.37,37.64,-8.99,-9.25,1. Baja,1. Baja,0. Baja,0. Baja,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,310.0,310.0,NO,310.0,310.0,0.0
5284,16 BOGOTA D.C.,001-BOGOTA. D.C.,8.0,A4,COLEGIO EMMA REYES IED,9.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,90.28,325.0,325.0,88.0,88.0,0.0,27.08,27.08,37.37,37.64,-10.3,-10.56,2. Media,2. Media,0. Baja,0. Baja,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,325.0,325.0,NO,325.0,325.0,0.0
5285,16 BOGOTA D.C.,001-BOGOTA. D.C.,10.0,95,SALON COMUNAL VILLAS DE GRANADA,12.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,88.61,319.0,319.0,88.0,88.0,0.0,27.59,27.59,37.37,37.64,-9.79,-10.05,1. Baja,2. Media,0. Baja,0. Baja,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,319.0,319.0,NO,319.0,319.0,0.0
5286,16 BOGOTA D.C.,001-BOGOTA. D.C.,11.0,84,COLEGIO VISTA BELLA,9.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,86.94,313.0,313.0,88.0,88.0,0.0,28.12,28.12,37.37,37.64,-9.26,-9.52,1. Baja,1. Baja,0. Baja,0. Baja,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,313.0,313.0,NO,313.0,313.0,0.0
5287,23 NARIÑO,001-PASTO,7.0,06,HERALDO ROMERO SANCHEZ SD CAROLINA,5.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,87.22,314.0,314.0,88.0,88.0,0.0,28.03,28.03,22.91,23.12,5.12,4.91,1. Baja,0. Mínima,0. Baja,0. Baja,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,314.0,314.0,NO,314.0,314.0,0.0
5288,23 NARIÑO,001-PASTO,90.0,01,IEM SAN JUAN BOSCO,17.0,4.0,ABELARDO DE LA ESPRIELLA,800.0,48.38,387.0,387.0,88.0,88.0,0.0,22.74,22.74,22.91,23.12,-0.17,-0.38,0. Mínima,0. Mínima,0. Baja,0. Baja,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,387.0,387.0,NO,387.0,387.0,0.0
5289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5290,31 VALLE,082-PRADERA,90.0,01,COLEGIO ANTONIO RICAURTE,3.0,4.0,ABELARDO DE LA ESPRIELLA,800.0,42.38,339.0,339.0,88.0,88.0,0.0,25.96,25.96,20.63,20.63,5.33,5.33,1. Baja,1. Baja,0. Baja,0. Baja,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,339.0,339.0,NO,339.0,339.0,0.0
5291,09 CALDAS,001-MANIZALES,5.0,04,I E NORMAL SUPERIOR DE CALDAS,4.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,83.61,301.0,301.0,87.0,87.0,0.0,28.9,28.9,41.98,41.97,-13.07,-13.06,2. Media,2. Media,0. Baja,0. Baja,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,301.0,301.0,NO,301.0,301.0,0.0
5292,09 CALDAS,001-MANIZALES,9.0,08,COLISEO MENOR RAMON MARIN VARGAS,3.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,85.56,308.0,308.0,87.0,87.0,0.0,28.25,28.25,41.98,41.97,-13.73,-13.72,2. Media,2. Media,0. Baja,0. Baja,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,308.0,308.0,NO,308.0,308.0,0.0
5293,15 CUNDINAMARCA,088-FUNZA,2.0,11,JARDIN INFANTIL VILLA PAUL,3.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,86.67,312.0,312.0,87.0,87.0,0.0,27.88,27.88,38.18,38.19,-10.29,-10.3,2. Media,2. Media,0. Baja,0. Baja,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,312.0,312.0,NO,312.0,312.0,0.0
5294,15 CUNDINAMARCA,169-MOSQUERA,2.0,08,CC ECOPLAZA,11.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,87.22,314.0,314.0,87.0,87.0,0.0,27.71,27.71,38.95,39.28,-11.24,-11.58,2. Media,2. Media,0. Baja,0. Baja,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,314.0,314.0,NO,314.0,314.0,0.0
5295,15 CUNDINAMARCA,247-SOACHA,1.0,09,I.E. PAZ Y ESPERANZA,4.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,86.94,313.0,313.0,87.0,87.0,0.0,27.8,27.8,28.04,28.39,-0.25,-0.6,0. Mínima,0. Mínima,0. Baja,0. Baja,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,313.0,313.0,NO,313.0,313.0,0.0
5296,15 CUNDINAMARCA,247-SOACHA,3.0,09,I.E. SOACHA AVANZA LA UNIDAD,10.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,89.72,323.0,323.0,87.0,87.0,0.0,26.94,26.94,28.04,28.39,-1.11,-1.46,0. Mínima,0. Mínima,0. Baja,0. Baja,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,323.0,323.0,NO,323.0,323.0,0.0
5297,16 BOGOTA D.C.,001-BOGOTA. D.C.,4.0,53,ENTRE NUBES SEDE A,1.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,85.0,306.0,306.0,87.0,87.0,0.0,28.43,28.43,37.37,37.64,-8.94,-9.21,1. Baja,1. Baja,0. Baja,0. Baja,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,306.0,306.0,NO,306.0,306.0,0.0
5298,16 BOGOTA D.C.,001-BOGOTA. D.C.,7.0,22,EL RECREO,9.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,85.0,306.0,306.0,87.0,87.0,0.0,28.43,28.43,37.37,37.64,-8.94,-9.21,1. Baja,1. Baja,0. Baja,0. Baja,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,306.0,306.0,NO,306.0,306.0,0.0
5299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5301,16 BOGOTA D.C.,001-BOGOTA. D.C.,7.0,64,VILLAS DEL PROGRESO,2.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,86.11,310.0,310.0,87.0,87.0,0.0,28.06,28.06,37.37,37.64,-9.31,-9.57,1. Baja,1. Baja,0. Baja,0. Baja,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,310.0,310.0,NO,310.0,310.0,0.0
5302,16 BOGOTA D.C.,001-BOGOTA. D.C.,10.0,68,MARGARITA BOSCO,10.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,91.11,328.0,328.0,87.0,87.0,0.0,26.52,26.52,37.37,37.64,-10.85,-11.11,2. Media,2. Media,0. Baja,0. Baja,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,328.0,328.0,NO,328.0,328.0,0.0
5303,16 BOGOTA D.C.,001-BOGOTA. D.C.,10.0,73,LA PALESTINA,6.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,86.94,313.0,313.0,87.0,87.0,0.0,27.8,27.8,37.37,37.64,-9.58,-9.84,1. Baja,1. Baja,0. Baja,0. Baja,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,313.0,313.0,NO,313.0,313.0,0.0
5304,16 BOGOTA D.C.,001-BOGOTA. D.C.,10.0,81,PARQUE SAN ANDRES,13.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,84.72,305.0,305.0,87.0,87.0,0.0,28.52,28.52,37.37,37.64,-8.85,-9.11,1. Baja,1. Baja,0. Baja,0. Baja,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,305.0,305.0,NO,305.0,305.0,0.0
5305,16 BOGOTA D.C.,001-BOGOTA. D.C.,11.0,66,FILARMONICO JORGE MARIO BERGOGLIO - IED,12.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,88.06,317.0,317.0,87.0,87.0,0.0,27.44,27.44,37.37,37.64,-9.93,-10.19,1. Baja,2. Media,0. Baja,0. Baja,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,323.0,323.0,SI,317.0,317.0,0.0
5306,16 BOGOTA D.C.,001-BOGOTA. D.C.,11.0,91,JUAN LOZANO Y LOZANO SEDE B - IED,11.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,84.72,305.0,305.0,87.0,87.0,0.0,28.52,28.52,37.37,37.64,-8.85,-9.11,1. Baja,1. Baja,0. Baja,0. Baja,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,305.0,305.0,NO,305.0,305.0,0.0
5307,16 BOGOTA D.C.,001-BOGOTA. D.C.,11.0,B1,SALON COMUNAL ALCAPARROS,6.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,85.56,308.0,308.0,87.0,87.0,0.0,28.25,28.25,37.37,37.64,-9.13,-9.39,1. Baja,1. Baja,0. Baja,0. Baja,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,308.0,308.0,NO,308.0,308.0,0.0
5308,16 BOGOTA D.C.,001-BOGOTA. D.C.,12.0,23,SAN MIGUEL,6.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,85.28,307.0,307.0,87.0,87.0,0.0,28.34,28.34,37.37,37.64,-9.03,-9.3,1. Baja,1. Baja,0. Baja,0. Baja,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,307.0,307.0,NO,307.0,307.0,0.0
