N,DEPARTAMENTO,MUNICIPIO,ZZ,PP,PUESTO,MESA,COD CAN,CANDIDATO,POTENCIAL,% Partic. Mesa PRE,Votos Mesa PRE,Votos Mesa ESC,Votos Cand. PRE,Votos Cand. ESC,Dif. Cand. Neta,% Cand. Mesa PRE,% Cand. Mesa ESC,% Cand. Mun PRE,% Cand. Mun ESC,Dif. % Mesa-Mun PRE,Dif. % Mesa-Mun ESC,Var. Súbita PRE,Var. Súbita ESC,Concent. Cand. PRE,Concent. Cand. ESC,Diferencias Mesa (-),Diferencias Mesa (+),Dif. Mesa Neta,En términos,Estado del sobre,Excluida,Firmas Jurados,Recontada Comisión,Recontada Jurados,Sufragantes E11 según E14,Sufragantes según E11,Tacahaduras y/o Enmendaduras,Total Votos E14,Votos Urna,Votos Incinerados
2,88 CONSULADOS,360-ESTADOS UNIDOS,35.0,81,LUNES LOS ANGELES - CONSULADO,1.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,9.42,942.0,,694.0,,,73.67,,72.1,,,,0. Mínima,0. Mínima,2. Alta,0. Baja,-942.0,0.0,-942.0,,,,,,,,,,,,
3,88 CONSULADOS,360-ESTADOS UNIDOS,59.0,81,LUNES ORLANDO - CONSULADO,3.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,6.15,615.0,,564.0,,,91.71,,72.1,,,,3. Alta,0. Mínima,3. Muy Alta,0. Baja,-615.0,0.0,-615.0,,,,,,,,,,,,
4,88 CONSULADOS,360-ESTADOS UNIDOS,40.0,81,LUNES MIAMI - CONSULADO,15.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,5.73,573.0,,526.0,,,91.8,,72.1,,,,3. Alta,0. Mínima,3. Muy Alta,0. Baja,-573.0,0.0,-573.0,,,,,,,,,,,,
5,88 CONSULADOS,360-ESTADOS UNIDOS,59.0,81,LUNES ORLANDO - CONSULADO,4.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,5.62,562.0,,503.0,,,89.5,,72.1,,,,3. Alta,0. Mínima,3. Muy Alta,0. Baja,-562.0,0.0,-562.0,,,,,,,,,,,,
6,88 CONSULADOS,360-ESTADOS UNIDOS,59.0,81,LUNES ORLANDO - CONSULADO,2.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,5.48,548.0,,497.0,,,90.69,,72.1,,,,3. Alta,0. Mínima,3. Muy Alta,0. Baja,-548.0,0.0,-548.0,,,,,,,,,,,,
7,88 CONSULADOS,360-ESTADOS UNIDOS,57.0,83,MIERCOLES NEWARK - CONSULADO,1.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,6.35,635.0,,486.0,,,76.54,,72.1,,,,0. Mínima,0. Mínima,2. Alta,0. Baja,-635.0,0.0,-635.0,,,,,,,,,,,,
8,88 CONSULADOS,360-ESTADOS UNIDOS,57.0,85,VIERNES NEWARK - CONSULADO,1.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,6.63,663.0,,485.0,,,73.15,,72.1,,,,0. Mínima,0. Mínima,2. Alta,0. Baja,-663.0,0.0,-663.0,,,,,,,,,,,,
9,88 CONSULADOS,360-ESTADOS UNIDOS,59.0,81,LUNES ORLANDO - CONSULADO,6.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,5.58,558.0,,470.0,,,84.23,,72.1,,,,2. Media,0. Mínima,3. Muy Alta,0. Baja,-558.0,0.0,-558.0,,,,,,,,,,,,
10,88 CONSULADOS,360-ESTADOS UNIDOS,40.0,83,MIERCOLES MIAMI - CONSULADO,7.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,6.03,603.0,,466.0,,,77.28,,72.1,,,,1. Baja,0. Mínima,2. Alta,0. Baja,-603.0,0.0,-603.0,,,,,,,,,,,,
11,88 CONSULADOS,360-ESTADOS UNIDOS,59.0,81,LUNES ORLANDO - CONSULADO,1.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,5.25,525.0,,465.0,,,88.57,,72.1,,,,3. Alta,0. Mínima,3. Muy Alta,0. Baja,-525.0,0.0,-525.0,,,,,,,,,,,,
12,88 CONSULADOS,360-ESTADOS UNIDOS,59.0,82,MARTES ORLANDO - CONSULADO,4.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,5.27,527.0,,465.0,,,88.24,,72.1,,,,3. Alta,0. Mínima,3. Muy Alta,0. Baja,-527.0,0.0,-527.0,,,,,,,,,,,,
13,88 CONSULADOS,360-ESTADOS UNIDOS,57.0,84,JUEVES NEWARK - CONSULADO,1.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,5.93,593.0,,439.0,,,74.03,,72.1,,,,0. Mínima,0. Mínima,2. Alta,0. Baja,-593.0,0.0,-593.0,,,,,,,,,,,,
14,88 CONSULADOS,360-ESTADOS UNIDOS,59.0,82,MARTES ORLANDO - CONSULADO,3.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,4.94,494.0,,437.0,,,88.46,,72.1,,,,3. Alta,0. Mínima,3. Muy Alta,0. Baja,-494.0,0.0,-494.0,,,,,,,,,,,,
15,88 CONSULADOS,360-ESTADOS UNIDOS,40.0,82,MARTES MIAMI - CONSULADO,6.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,5.52,552.0,,435.0,,,78.8,,72.1,,,,1. Baja,0. Mínima,2. Alta,0. Baja,-552.0,0.0,-552.0,,,,,,,,,,,,
16,88 CONSULADOS,360-ESTADOS UNIDOS,30.0,81,LUNES HOUSTON - CONSULADO,1.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,5.2,520.0,,433.0,,,83.27,,72.1,,,,2. Media,0. Mínima,3. Muy Alta,0. Baja,-520.0,0.0,-520.0,,,,,,,,,,,,
17,88 CONSULADOS,360-ESTADOS UNIDOS,10.0,81,LUNES BOSTON - CONSULADO,1.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,5.44,544.0,,432.0,,,79.41,,72.1,,,,1. Baja,0. Mínima,2. Alta,0. Baja,-544.0,0.0,-544.0,,,,,,,,,,,,
18,88 CONSULADOS,285-COSTA RICA,5.0,84,JUEVES SAN JOSÉ - CONSULADO,1.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,5.97,597.0,,430.0,,,72.03,,66.32,,,,1. Baja,0. Mínima,2. Alta,0. Baja,-597.0,0.0,-597.0,,,,,,,,,,,,
19,88 CONSULADOS,360-ESTADOS UNIDOS,59.0,81,LUNES ORLANDO - CONSULADO,5.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,5.23,523.0,,425.0,,,81.26,,72.1,,,,1. Baja,0. Mínima,3. Muy Alta,0. Baja,-523.0,0.0,-523.0,,,,,,,,,,,,
20,88 CONSULADOS,360-ESTADOS UNIDOS,57.0,81,LUNES NEWARK - CONSULADO,1.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,5.1,510.0,,423.0,,,82.94,,72.1,,,,2. Media,0. Mínima,3. Muy Alta,0. Baja,-510.0,0.0,-510.0,,,,,,,,,,,,
21,88 CONSULADOS,360-ESTADOS UNIDOS,40.0,86,SABADO MIAMI - CONSULADO,5.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,5.45,545.0,,420.0,,,77.06,,72.1,,,,0. Mínima,0. Mínima,2. Alta,0. Baja,-545.0,0.0,-545.0,,,,,,,,,,,,
22,88 CONSULADOS,360-ESTADOS UNIDOS,55.0,81,LUNES NUEVA YORK - CONSULADO,3.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,5.48,548.0,,411.0,,,75.0,,72.1,,,,0. Mínima,0. Mínima,2. Alta,0. Baja,-548.0,0.0,-548.0,,,,,,,,,,,,
23,88 CONSULADOS,360-ESTADOS UNIDOS,30.0,82,MARTES HOUSTON - CONSULADO,2.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,5.08,508.0,,410.0,,,80.71,,72.1,,,,1. Baja,0. Mínima,3. Muy Alta,0. Baja,-508.0,0.0,-508.0,,,,,,,,,,,,
24,88 CONSULADOS,250-CANADA,10.0,03,LONDON,1.0,4.0,ABELARDO DE LA ESPRIELLA,700.0,76.29,534.0,,405.0,,,75.84,,50.21,,,,4. Muy Alta,0. Mínima,2. Alta,0. Baja,-534.0,0.0,-534.0,,,,,,,,,,,,
25,88 CONSULADOS,360-ESTADOS UNIDOS,57.0,82,MARTES NEWARK - CONSULADO,1.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,5.35,535.0,,405.0,,,75.7,,72.1,,,,0. Mínima,0. Mínima,2. Alta,0. Baja,-535.0,0.0,-535.0,,,,,,,,,,,,
26,88 CONSULADOS,360-ESTADOS UNIDOS,40.0,07,MIAMI - SARASOTA,2.0,4.0,ABELARDO DE LA ESPRIELLA,700.0,66.86,468.0,,404.0,,,86.32,,72.1,,,,2. Media,0. Mínima,3. Muy Alta,0. Baja,-468.0,0.0,-468.0,,,,,,,,,,,,
27,88 CONSULADOS,360-ESTADOS UNIDOS,55.0,10,NUEVA YORK - LOS HAMPTON,1.0,4.0,ABELARDO DE LA ESPRIELLA,700.0,70.14,491.0,,402.0,,,81.87,,72.1,,,,1. Baja,0. Mínima,3. Muy Alta,0. Baja,-491.0,0.0,-491.0,,,,,,,,,,,,
28,88 CONSULADOS,360-ESTADOS UNIDOS,59.0,83,MIERCOLES ORLANDO - CONSULADO,5.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,4.9,490.0,,402.0,,,82.04,,72.1,,,,1. Baja,0. Mínima,3. Muy Alta,0. Baja,-490.0,0.0,-490.0,,,,,,,,,,,,
29,88 CONSULADOS,360-ESTADOS UNIDOS,40.0,08,MIAMI - WESTON,20.0,4.0,ABELARDO DE LA ESPRIELLA,700.0,66.29,464.0,,400.0,,,86.21,,72.1,,,,2. Media,0. Mínima,3. Muy Alta,0. Baja,-464.0,0.0,-464.0,,,,,,,,,,,,
30,88 CONSULADOS,250-CANADA,10.0,03,LONDON,2.0,4.0,ABELARDO DE LA ESPRIELLA,700.0,78.43,549.0,,399.0,,,72.68,,50.21,,,,4. Muy Alta,0. Mínima,2. Alta,0. Baja,-549.0,0.0,-549.0,,,,,,,,,,,,
31,88 CONSULADOS,285-COSTA RICA,5.0,85,VIERNES SAN JOSÉ - CONSULADO,1.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,5.96,596.0,,399.0,,,66.95,,66.32,,,,0. Mínima,0. Mínima,2. Alta,0. Baja,-596.0,0.0,-596.0,,,,,,,,,,,,
32,88 CONSULADOS,360-ESTADOS UNIDOS,59.0,83,MIERCOLES ORLANDO - CONSULADO,4.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,4.7,470.0,,399.0,,,84.89,,72.1,,,,2. Media,0. Mínima,3. Muy Alta,0. Baja,-470.0,0.0,-470.0,,,,,,,,,,,,
33,88 CONSULADOS,360-ESTADOS UNIDOS,40.0,81,LUNES MIAMI - CONSULADO,13.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,4.31,431.0,,394.0,,,91.42,,72.1,,,,3. Alta,0. Mínima,3. Muy Alta,0. Baja,-431.0,0.0,-431.0,,,,,,,,,,,,
34,88 CONSULADOS,285-COSTA RICA,5.0,82,MARTES SAN JOSÉ - CONSULADO,1.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,5.45,545.0,,393.0,,,72.11,,66.32,,,,1. Baja,0. Mínima,2. Alta,0. Baja,-545.0,0.0,-545.0,,,,,,,,,,,,
35,88 CONSULADOS,360-ESTADOS UNIDOS,59.0,86,SABADO ORLANDO - CONSULADO,4.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,4.71,471.0,,392.0,,,83.23,,72.1,,,,2. Media,0. Mínima,3. Muy Alta,0. Baja,-471.0,0.0,-471.0,,,,,,,,,,,,
36,88 CONSULADOS,285-COSTA RICA,5.0,83,MIERCOLES SAN JOSÉ - CONSULADO,1.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,5.53,553.0,,387.0,,,69.98,,66.32,,,,0. Mínima,0. Mínima,2. Alta,0. Baja,-553.0,0.0,-553.0,,,,,,,,,,,,
37,88 CONSULADOS,360-ESTADOS UNIDOS,30.0,81,LUNES HOUSTON - CONSULADO,3.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,5.26,526.0,,384.0,,,73.0,,72.1,,,,0. Mínima,0. Mínima,2. Alta,0. Baja,-526.0,0.0,-526.0,,,,,,,,,,,,
38,88 CONSULADOS,360-ESTADOS UNIDOS,40.0,08,MIAMI - WESTON,14.0,4.0,ABELARDO DE LA ESPRIELLA,700.0,59.43,416.0,,384.0,,,92.31,,72.1,,,,4. Muy Alta,0. Mínima,3. Muy Alta,0. Baja,-416.0,0.0,-416.0,,,,,,,,,,,,
39,88 CONSULADOS,360-ESTADOS UNIDOS,59.0,86,SABADO ORLANDO - CONSULADO,5.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,5.62,562.0,,382.0,,,67.97,,72.1,,,,0. Mínima,0. Mínima,2. Alta,0. Baja,-562.0,0.0,-562.0,,,,,,,,,,,,
40,88 CONSULADOS,360-ESTADOS UNIDOS,59.0,82,MARTES ORLANDO - CONSULADO,2.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,4.34,434.0,,381.0,,,87.79,,72.1,,,,3. Alta,0. Mínima,3. Muy Alta,0. Baja,-434.0,0.0,-434.0,,,,,,,,,,,,
41,88 CONSULADOS,360-ESTADOS UNIDOS,40.0,09,MIAMI - WEST PALM BEACH,11.0,4.0,ABELARDO DE LA ESPRIELLA,700.0,63.43,444.0,,380.0,,,85.59,,72.1,,,,2. Media,0. Mínima,3. Muy Alta,0. Baja,-444.0,0.0,-444.0,,,,,,,,,,,,
42,88 CONSULADOS,360-ESTADOS UNIDOS,40.0,09,MIAMI - WEST PALM BEACH,8.0,4.0,ABELARDO DE LA ESPRIELLA,700.0,61.43,430.0,,379.0,,,88.14,,72.1,,,,3. Alta,0. Mínima,3. Muy Alta,0. Baja,-430.0,0.0,-430.0,,,,,,,,,,,,
43,88 CONSULADOS,360-ESTADOS UNIDOS,40.0,83,MIERCOLES MIAMI - CONSULADO,4.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,4.5,450.0,,379.0,,,84.22,,72.1,,,,2. Media,0. Mínima,3. Muy Alta,0. Baja,-450.0,0.0,-450.0,,,,,,,,,,,,
44,88 CONSULADOS,360-ESTADOS UNIDOS,40.0,07,MIAMI - SARASOTA,3.0,4.0,ABELARDO DE LA ESPRIELLA,700.0,66.29,464.0,,377.0,,,81.25,,72.1,,,,1. Baja,0. Mínima,3. Muy Alta,0. Baja,-464.0,0.0,-464.0,,,,,,,,,,,,
45,88 CONSULADOS,360-ESTADOS UNIDOS,40.0,84,JUEVES MIAMI - CONSULADO,6.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,4.9,490.0,,375.0,,,76.53,,72.1,,,,0. Mínima,0. Mínima,2. Alta,0. Baja,-490.0,0.0,-490.0,,,,,,,,,,,,
46,88 CONSULADOS,360-ESTADOS UNIDOS,40.0,84,JUEVES MIAMI - CONSULADO,7.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,4.53,453.0,,375.0,,,82.78,,72.1,,,,2. Media,0. Mínima,3. Muy Alta,0. Baja,-453.0,0.0,-453.0,,,,,,,,,,,,
47,88 CONSULADOS,360-ESTADOS UNIDOS,40.0,81,LUNES MIAMI - CONSULADO,4.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,4.15,415.0,,374.0,,,90.12,,72.1,,,,3. Alta,0. Mínima,3. Muy Alta,0. Baja,-415.0,0.0,-415.0,,,,,,,,,,,,
48,88 CONSULADOS,360-ESTADOS UNIDOS,40.0,08,MIAMI - WESTON,13.0,4.0,ABELARDO DE LA ESPRIELLA,700.0,57.43,402.0,,373.0,,,92.79,,72.1,,,,4. Muy Alta,0. Mínima,3. Muy Alta,0. Baja,-402.0,0.0,-402.0,,,,,,,,,,,,
49,88 CONSULADOS,360-ESTADOS UNIDOS,40.0,81,LUNES MIAMI - CONSULADO,11.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,3.94,394.0,,370.0,,,93.91,,72.1,,,,4. Muy Alta,0. Mínima,3. Muy Alta,0. Baja,-394.0,0.0,-394.0,,,,,,,,,,,,
50,88 CONSULADOS,360-ESTADOS UNIDOS,40.0,09,MIAMI - WEST PALM BEACH,5.0,4.0,ABELARDO DE LA ESPRIELLA,700.0,59.71,418.0,,367.0,,,87.8,,72.1,,,,3. Alta,0. Mínima,3. Muy Alta,0. Baja,-418.0,0.0,-418.0,,,,,,,,,,,,
51,88 CONSULADOS,360-ESTADOS UNIDOS,40.0,08,MIAMI - WESTON,9.0,4.0,ABELARDO DE LA ESPRIELLA,700.0,57.43,402.0,,365.0,,,90.8,,72.1,,,,3. Alta,0. Mínima,3. Muy Alta,0. Baja,-402.0,0.0,-402.0,,,,,,,,,,,,
52,88 CONSULADOS,250-CANADA,10.0,03,LONDON,3.0,4.0,ABELARDO DE LA ESPRIELLA,700.0,77.57,543.0,,364.0,,,67.04,,50.21,,,,3. Alta,0. Mínima,2. Alta,0. Baja,-543.0,0.0,-543.0,,,,,,,,,,,,
53,88 CONSULADOS,360-ESTADOS UNIDOS,59.0,05,ORLANDO - TAMPA,7.0,4.0,ABELARDO DE LA ESPRIELLA,700.0,57.86,405.0,,364.0,,,89.88,,72.1,,,,3. Alta,0. Mínima,3. Muy Alta,0. Baja,-405.0,0.0,-405.0,,,,,,,,,,,,
54,88 CONSULADOS,360-ESTADOS UNIDOS,59.0,85,VIERNES ORLANDO - CONSULADO,4.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,4.31,431.0,,363.0,,,84.22,,72.1,,,,2. Media,0. Mínima,3. Muy Alta,0. Baja,-431.0,0.0,-431.0,,,,,,,,,,,,
55,88 CONSULADOS,360-ESTADOS UNIDOS,30.0,81,LUNES HOUSTON - CONSULADO,2.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,4.21,421.0,,362.0,,,85.99,,72.1,,,,2. Media,0. Mínima,3. Muy Alta,0. Baja,-421.0,0.0,-421.0,,,,,,,,,,,,
56,88 CONSULADOS,360-ESTADOS UNIDOS,59.0,82,MARTES ORLANDO - CONSULADO,1.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,4.36,436.0,,362.0,,,83.03,,72.1,,,,2. Media,0. Mínima,3. Muy Alta,0. Baja,-436.0,0.0,-436.0,,,,,,,,,,,,
57,88 CONSULADOS,360-ESTADOS UNIDOS,1.0,05,ATLANTA - GREENVILLE,2.0,4.0,ABELARDO DE LA ESPRIELLA,700.0,61.43,430.0,,361.0,,,83.95,,72.1,,,,2. Media,0. Mínima,3. Muy Alta,0. Baja,-430.0,0.0,-430.0,,,,,,,,,,,,
58,88 CONSULADOS,360-ESTADOS UNIDOS,15.0,03,"COLUMBUS, OHIO",1.0,4.0,ABELARDO DE LA ESPRIELLA,700.0,68.71,481.0,,361.0,,,75.05,,72.1,,,,0. Mínima,0. Mínima,2. Alta,0. Baja,-481.0,0.0,-481.0,,,,,,,,,,,,
59,88 CONSULADOS,360-ESTADOS UNIDOS,40.0,06,MIAMI - CORAL SPRINGS,10.0,4.0,ABELARDO DE LA ESPRIELLA,700.0,58.57,410.0,,360.0,,,87.8,,72.1,,,,3. Alta,0. Mínima,3. Muy Alta,0. Baja,-410.0,0.0,-410.0,,,,,,,,,,,,
60,88 CONSULADOS,360-ESTADOS UNIDOS,40.0,08,MIAMI - WESTON,19.0,4.0,ABELARDO DE LA ESPRIELLA,700.0,57.71,404.0,,360.0,,,89.11,,72.1,,,,3. Alta,0. Mínima,3. Muy Alta,0. Baja,-404.0,0.0,-404.0,,,,,,,,,,,,
61,88 CONSULADOS,360-ESTADOS UNIDOS,40.0,82,MARTES MIAMI - CONSULADO,2.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,4.02,402.0,,360.0,,,89.55,,72.1,,,,3. Alta,0. Mínima,3. Muy Alta,0. Baja,-402.0,0.0,-402.0,,,,,,,,,,,,
62,88 CONSULADOS,360-ESTADOS UNIDOS,40.0,08,MIAMI - WESTON,21.0,4.0,ABELARDO DE LA ESPRIELLA,700.0,61.29,429.0,,359.0,,,83.68,,72.1,,,,2. Media,0. Mínima,3. Muy Alta,0. Baja,-429.0,0.0,-429.0,,,,,,,,,,,,
63,88 CONSULADOS,360-ESTADOS UNIDOS,40.0,09,MIAMI - WEST PALM BEACH,2.0,4.0,ABELARDO DE LA ESPRIELLA,700.0,60.43,423.0,,359.0,,,84.87,,72.1,,,,2. Media,0. Mínima,3. Muy Alta,0. Baja,-423.0,0.0,-423.0,,,,,,,,,,,,
64,88 CONSULADOS,360-ESTADOS UNIDOS,40.0,07,MIAMI - SARASOTA,1.0,4.0,ABELARDO DE LA ESPRIELLA,700.0,64.0,448.0,,358.0,,,79.91,,72.1,,,,1. Baja,0. Mínima,2. Alta,0. Baja,-448.0,0.0,-448.0,,,,,,,,,,,,
65,88 CONSULADOS,360-ESTADOS UNIDOS,59.0,05,ORLANDO - TAMPA,10.0,4.0,ABELARDO DE LA ESPRIELLA,700.0,60.14,421.0,,358.0,,,85.04,,72.1,,,,2. Media,0. Mínima,3. Muy Alta,0. Baja,-421.0,0.0,-421.0,,,,,,,,,,,,
66,88 CONSULADOS,360-ESTADOS UNIDOS,40.0,08,MIAMI - WESTON,8.0,4.0,ABELARDO DE LA ESPRIELLA,700.0,57.86,405.0,,357.0,,,88.15,,72.1,,,,3. Alta,0. Mínima,3. Muy Alta,0. Baja,-405.0,0.0,-405.0,,,,,,,,,,,,
67,88 CONSULADOS,360-ESTADOS UNIDOS,15.0,81,LUNES CHICAGO - CONSULADO,1.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,4.94,494.0,,356.0,,,72.06,,72.1,,,,0. Mínima,0. Mínima,2. Alta,0. Baja,-494.0,0.0,-494.0,,,,,,,,,,,,
68,88 CONSULADOS,360-ESTADOS UNIDOS,5.0,81,LUNES WASHINGTON - CONSULADO,2.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,5.16,516.0,,355.0,,,68.8,,72.1,,,,0. Mínima,0. Mínima,2. Alta,0. Baja,-516.0,0.0,-516.0,,,,,,,,,,,,
69,88 CONSULADOS,360-ESTADOS UNIDOS,40.0,08,MIAMI - WESTON,12.0,4.0,ABELARDO DE LA ESPRIELLA,700.0,57.0,399.0,,355.0,,,88.97,,72.1,,,,3. Alta,0. Mínima,3. Muy Alta,0. Baja,-399.0,0.0,-399.0,,,,,,,,,,,,
70,88 CONSULADOS,360-ESTADOS UNIDOS,59.0,83,MIERCOLES ORLANDO - CONSULADO,3.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,3.94,394.0,,354.0,,,89.85,,72.1,,,,3. Alta,0. Mínima,3. Muy Alta,0. Baja,-394.0,0.0,-394.0,,,,,,,,,,,,
71,88 CONSULADOS,360-ESTADOS UNIDOS,5.0,81,LUNES WASHINGTON - CONSULADO,1.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,4.99,499.0,,352.0,,,70.54,,72.1,,,,0. Mínima,0. Mínima,2. Alta,0. Baja,-499.0,0.0,-499.0,,,,,,,,,,,,
72,88 CONSULADOS,360-ESTADOS UNIDOS,40.0,85,VIERNES MIAMI - CONSULADO,4.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,4.33,433.0,,352.0,,,81.29,,72.1,,,,1. Baja,0. Mínima,3. Muy Alta,0. Baja,-433.0,0.0,-433.0,,,,,,,,,,,,
73,88 CONSULADOS,360-ESTADOS UNIDOS,40.0,86,SABADO MIAMI - CONSULADO,3.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,4.1,410.0,,352.0,,,85.85,,72.1,,,,2. Media,0. Mínima,3. Muy Alta,0. Baja,-410.0,0.0,-410.0,,,,,,,,,,,,
74,88 CONSULADOS,360-ESTADOS UNIDOS,59.0,82,MARTES ORLANDO - CONSULADO,5.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,4.27,427.0,,351.0,,,82.2,,72.1,,,,2. Media,0. Mínima,3. Muy Alta,0. Baja,-427.0,0.0,-427.0,,,,,,,,,,,,
75,88 CONSULADOS,360-ESTADOS UNIDOS,35.0,83,MIERCOLES LOS ANGELES - CONSULADO,1.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,4.77,477.0,,350.0,,,73.38,,72.1,,,,0. Mínima,0. Mínima,2. Alta,0. Baja,-477.0,0.0,-477.0,,,,,,,,,,,,
76,88 CONSULADOS,360-ESTADOS UNIDOS,40.0,06,MIAMI - CORAL SPRINGS,13.0,4.0,ABELARDO DE LA ESPRIELLA,700.0,60.71,425.0,,350.0,,,82.35,,72.1,,,,2. Media,0. Mínima,3. Muy Alta,0. Baja,-425.0,0.0,-425.0,,,,,,,,,,,,
77,88 CONSULADOS,360-ESTADOS UNIDOS,40.0,81,LUNES MIAMI - CONSULADO,6.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,3.8,380.0,,350.0,,,92.11,,72.1,,,,4. Muy Alta,0. Mínima,3. Muy Alta,0. Baja,-380.0,0.0,-380.0,,,,,,,,,,,,
78,88 CONSULADOS,360-ESTADOS UNIDOS,59.0,84,JUEVES ORLANDO - CONSULADO,4.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,4.18,418.0,,350.0,,,83.73,,72.1,,,,2. Media,0. Mínima,3. Muy Alta,0. Baja,-418.0,0.0,-418.0,,,,,,,,,,,,
79,88 CONSULADOS,360-ESTADOS UNIDOS,40.0,09,MIAMI - WEST PALM BEACH,6.0,4.0,ABELARDO DE LA ESPRIELLA,700.0,60.57,424.0,,349.0,,,82.31,,72.1,,,,2. Media,0. Mínima,3. Muy Alta,0. Baja,-424.0,0.0,-424.0,,,,,,,,,,,,
80,88 CONSULADOS,360-ESTADOS UNIDOS,40.0,09,MIAMI - WEST PALM BEACH,9.0,4.0,ABELARDO DE LA ESPRIELLA,700.0,60.86,426.0,,349.0,,,81.92,,72.1,,,,1. Baja,0. Mínima,3. Muy Alta,0. Baja,-426.0,0.0,-426.0,,,,,,,,,,,,
81,88 CONSULADOS,360-ESTADOS UNIDOS,40.0,06,MIAMI - CORAL SPRINGS,9.0,4.0,ABELARDO DE LA ESPRIELLA,700.0,58.43,409.0,,346.0,,,84.6,,72.1,,,,2. Media,0. Mínima,3. Muy Alta,0. Baja,-409.0,0.0,-409.0,,,,,,,,,,,,
82,88 CONSULADOS,360-ESTADOS UNIDOS,40.0,09,MIAMI - WEST PALM BEACH,7.0,4.0,ABELARDO DE LA ESPRIELLA,700.0,58.14,407.0,,346.0,,,85.01,,72.1,,,,2. Media,0. Mínima,3. Muy Alta,0. Baja,-407.0,0.0,-407.0,,,,,,,,,,,,
83,88 CONSULADOS,360-ESTADOS UNIDOS,59.0,05,ORLANDO - TAMPA,5.0,4.0,ABELARDO DE LA ESPRIELLA,700.0,56.14,393.0,,346.0,,,88.04,,72.1,,,,3. Alta,0. Mínima,3. Muy Alta,0. Baja,-393.0,0.0,-393.0,,,,,,,,,,,,
84,88 CONSULADOS,360-ESTADOS UNIDOS,40.0,09,MIAMI - WEST PALM BEACH,12.0,4.0,ABELARDO DE LA ESPRIELLA,700.0,59.0,413.0,,344.0,,,83.29,,72.1,,,,2. Media,0. Mínima,3. Muy Alta,0. Baja,-413.0,0.0,-413.0,,,,,,,,,,,,
85,88 CONSULADOS,360-ESTADOS UNIDOS,59.0,05,ORLANDO - TAMPA,8.0,4.0,ABELARDO DE LA ESPRIELLA,700.0,55.71,390.0,,342.0,,,87.69,,72.1,,,,3. Alta,0. Mínima,3. Muy Alta,0. Baja,-390.0,0.0,-390.0,,,,,,,,,,,,
